Index,Country,Scope,Jurisdiction,Type of Law,Product Type,Application,Ordinance,Hyperlink to Ordinance
138,Indonesia,Local,Jakarta,Fee,Bag,Retailer,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
139,Indonesia,Local,Padang,Fee,Bag,Retailer,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
140,Indonesia,State,Bali,Ban,Bag,Retailer,-,https://plasticpollutioncoalitionresources.org/wp-content/uploads/2017/03/PERGUB_SAMPAH_PLASTIK-_DES_2018.pdf
141,Ireland,National,Ireland,Fee,Bag,Unknown,link,http://www.irishstatutebook.ie/eli/2001/si/605/made/en/print
142,Israel,National,Israel,Ban+Fee,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
143,Italy,National,Italy,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
144,Italy,National,Italy,Ban,Microbead,Retail,link,http://www.gazzettaufficiale.it/eli/id/2017/12/29/17G00222/sg
145,Jamaica,National,Jamaica,Ban,Bag,"Manufacture, Use",-,https://static1.squarespace.com/static/59bd5150e45a7caf6bee56f8/t/5cc656f7652dea319bb5f9f4/1556502264811/PPM+Order_NRCA+Act.pdf
146,Jordan,National,Jordan,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
147,Kenya,National,Kenya,Ban+Fee,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
148,Kiribati,National,Kiribati,Fee,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
149,Kyrgyzstan,National,Kyrgyzstan,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
150,Latvia,National,Latvia,Ban+Fee,Bag,"Retail, Manufacture",-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
151,Lebanon,National,Lebanon,Ban,Bag,Unknown,link,http://extwprlegs1.fao.org/docs/pdf/mau140753.pdf
152,Lesotho,National,Lesotho,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
153,Lithuania,National,Lithuania,Ban+Fee,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
154,Luxembourg,National,Luxembourg,Ban,Bag,Distribution,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
155,Macedonia,National,Macedonia,Fee,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
156,Madagascar,National,Madagascar,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
157,Malawi,National,Malawi,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
158,Malaysia,Local,Penang,Fee,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
159,Malaysia,Local,Selangor,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
160,Malaysia,National,Malaysia,Ban,Straw,Restaurant,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
161,Maldives,National,Maldives,Ban,Bag,Unknown,link,"http://www.environment.
gov.mv/biodiversity/wp-content/uploads/2016/01/Regulation-on-Standard-for-Biodegradable-Plastic-Bags.pdf"
162,Mali,National,Mali,Ban,Bag,Unknown,link,http://extwprlegs1.fao.org/docs/pdf/mli152392.pdf
163,Malta,National,Malta,Fee,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
164,Marshall Islands,Territory,Marshall Islands,Ban,Bag,"Retail, Manufacture, Distribution, Import",link,https://rmiparliament.org/cms/images/LEGISLATION/BILLS/2016/2016-0028/StyrofoamandPlasticProductsProhibitionAct2016.pdf
165,Mauritania,National,Mauritania,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
166,Mauritius,National,Mauritius,Ban,Bag,"Retail, Manufacture, Distribution, Import",link,https://tsapps.nist.gov/notifyus/docs/wto_country/MUS/full_text/pdf/MUS5(english).pdf
167,Mexico,Local,Mexico City,Ban,EPS,Retail,,
168,Mexico,Local,"Mexico City, Mexico",Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
169,Micronesia,National,Micronesia,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
170,Moldova,National,Moldova,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
171,Monaco,National,Monaco,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
172,Mongolia,National,Mongolia,Ban,Bag,"Retail, Manufacture, Import, Use",-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
173,Morocco,National,Morocco,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
174,Mozambique,National,Mozambique,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
175,Myanmar,National,Mandalay,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
176,Myanmar,National,Naypyitaw,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
177,Myanmar,National,Yangon,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
178,Namibia,National,Namibia,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
179,Nepal,National,Nepal,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
180,Netherlands,National,Netherlands,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
181,New Zealand,National,New Zealand,Ban,Bag,"Retail, Restaurant",-,http://www.legislation.govt.nz/regulation/public/2018/0270/latest/whole.html?search=ts_act%40bill%40regulation%40deemedreg_plastic+bag_resel_25_a&p=1#LMS140914
182,New Zealand,National,New Zealand,Ban,Microbead,"Retail, Manufacture",link,http://www.legislation.govt.nz/regulation/public/2017/0291/latest/DLM7490715.html?search=ts_act%40bill%40regulation%40deemedreg_microbeads_resel_25_a&p=1
183,New Zealand,National,New Zealand 2,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
184,Niger,National,Niger,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
185,Nigeria,National,Nigeria,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
186,Niue,National,Niue,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
187,Norway,National,Norway,Other,Bag,Manufacture,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
188,Oman,National,Oman,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
189,Pakistan,National,Islamabad Capital Territory,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
190,Pakistan,National,Khyber Pakhtunkhwa Province,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
191,Pakistan,National,Punjab,Ban,Bag,Unknown,link,https://epd.punjab.gov.pk/system/files/Punjab%20Polythene%20Bag%20Ordinance.pdf
192,Pakistan,National,Sindh,Ban,Bag,Unknown,link,http://www.pas.gov.pk/uploads/acts/Sindh%20Act%20No.XV%20of%202006.pdf
193,Palau,National,Palau,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
194,Panama,National,Panama,Ban,Bag,"Retail, Distribution",-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
195,Papua New Guinea,National,Papua New Guinea,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
196,Paraguay,Local,Paraguay,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
197,Philippines,Local,Albay,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
198,Philippines,Local,Antipolo,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
199,Philippines,Local,Asingan,Ban,Bag,Unknown,link,http://pangasinan.gov.ph/wp-content/uploads/2016/06/313-2016.pdf
200,Philippines,Local,Batangas,Ban,Bag,Unknown,link,https://www.facebook.com/notes/university-of-batangas/environmental-code-of-batangas-city-ordinance-no-16-series-of-2010/211663742187643/
201,Philippines,Local,Binalonan,Ban,Bag,Unknown,link,http://pangasinan.gov.ph/wp-content/uploads/2015/07/402.pdf
202,Philippines,Local,Binan,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
203,Philippines,Local,Bontoc,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
204,Philippines,Local,Bulacan,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
205,Philippines,Local,Burgos,Ban,Bag,Unknown,link,http://pangasinan.gov.ph/wp-content/uploads/2016/02/58-2009.pdf
206,Philippines,Local,Calamba,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
207,Philippines,Local,Calapan,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
208,Philippines,Local,Caloocan,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
209,Philippines,Local,Carmona,Other,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
210,Philippines,Local,Cavite Province,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
211,Philippines,Local,Davao City,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
212,Philippines,Local,Gubat,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
213,Philippines,Local,Iloilo,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
214,Philippines,Local,Imus,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
215,Philippines,Local,Laoac,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
216,Philippines,Local,Laoag City,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
217,Philippines,Local,Las Piñas,Ban,Bag,"Retail, Restaurant",link,http://www.laspinascity.gov.ph/publications?search=1036-11
218,Philippines,Local,Lipa City,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
219,Philippines,Local,Los Banos,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
220,Philippines,Local,Makati,Ban,Bag,"Retail, Distribution, Use",-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
221,Philippines,Local,Malabon,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
222,Philippines,Local,Mandaluyong,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
223,Philippines,Local,Mandaue,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
224,Philippines,Local,Manila,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
225,Philippines,Local,Marikina,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
226,Philippines,Local,Muntinlupa,Ban,Bag,Unknown,link,https://www.scribd.com/doc/189783959/Muntinlupa-City-Ordinance-10-109
227,Philippines,Local,Negros Occidental,Ban,Bag,Unknown,link,http://www.bacolodcity.gov.ph/spordinances/co00562011.pdf
228,Philippines,Local,Pasay,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
229,Philippines,Local,Pasig,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
230,Philippines,Local,Quezon City,Ban+Fee,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
231,Philippines,Local,San Fernando,Fee,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
232,Philippines,Local,Santa Barbara,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
233,Philippines,Local,Taytay,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
234,Philippines,Local,Villasis,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
235,Poland,National,Poland,Fee,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
236,Portugal,National,Portugal,Other,Bag,"Manufacture, Import",-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
237,Republic of Korea,National,Republic of Korea,Ban,Microbead,"Retail, Manufacture",link,https://members.wto.org/crnattachments/2016/TBT/KOR/16_4194_00_x.pdf
238,Romania,National,Romania,Fee,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
239,Rwanda,National,Rwanda,Ban,Bag,"Retail, Manufacture, Import, Use",link,https://rema.gov.rw/rema_doc/Laws/Plastic%20bags%20law.pdf
240,Saint Vincent and the Grenadines,National,Saint Vincent and the Grenadines,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
241,Saudi Arabia,National,Saudi Arabia,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
242,Senegal,National,Senegal,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
243,Serbia,National,Serbia,Ban+Fee,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
244,Seychelles,National,Seychelles,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
245,Singapore,Local,Singapore,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
246,Slovakia,National,Slovakia,Fee,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
247,Slovenia,National,Slovenia,Fee,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
248,Somalia,State,Somaliland,Ban,Bag,"Import, Use",-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
249,Somalia,State,"Territories controlled by Al-Shabab, Somalia",Ban,Bag,Use,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
250,South Africa,Local,Capre Town,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
251,South Africa,National,South Africa,Ban+Fee,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
252,South Korea,National,South Korea,Ban,Bag,"Retail, Restaurant",-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
253,Spain,Local,Andalucia,Fee,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
254,Spain,National,Spain,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
255,Sri Lanka,National,Sri Lanka,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
256,Sweden,National,Sweden,Ban,Bag,Retail,-,https://www.riksdagen.se/sv/dokument-lagar/dokument/svensk-forfattningssamling/forordning-1998944-om-forbud-mm-i-vissa-fall_sfs-1998-944
257,Sweden,National,Sweden,Fee,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
258,Switzerland,National,Switzerland,Fee,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
259,Taiwan,National,Taiwan,Ban,Microbead,"Retail, Manufacture, Import",link,https://oaout.epa.gov.tw/law/EngLawContent.aspx?lan=E&id=199&KW=plastic+particles
260,Taiwan,National,Taiwan,Ban+Fee,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
261,Taiwan,National,Taiwan,Comprehensive,Multiple,,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
262,Tanzania,Local,Zanzibar,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
263,Tanzania,National,Tanzania,Ban,Bag,"Retail, Manufacture, Import, Use",-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
264,Thailand,National,Thailand,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
265,Togo,National,Togo,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
266,Tunisia,National,Tunisia,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
267,Turkey,Local,Kadıköy,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
268,Turkey,National,Turkey,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
269,Turks and Caicos Islands,National,Turks & Caicos Islands,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
270,Uganda,National,Uganda,Ban,Bag,"Manufacture, Use",-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
271,United Arab Emirates,National,United Arab Emirates,Ban,Bag,Manufacture,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
272,United Kingdom,Local,Hay-on-Wye,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
273,United Kingdom,Local,Llandysilio,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
274,United Kingdom,National,England,Ban,Microbead,"Retail, Manufacture",link,https://www.legislation.gov.uk/ukdsi/2017/9780111162118/pdfs/ukdsi_9780111162118_en.pdf
275,United Kingdom,National,England,Fee,Bag,Retail,link,https://www.legislation.gov.uk/uksi/2015/776/contents/made
